Month,PSEUDO_mean,CALMAR_mean,ACALON_mean,CENABD_mean,OITSIM_mean,ACATON_mean,CALPAC_mean,CALSTY_mean,CALTENU_mean,CLASO_mean,CORANG_mean,CTNCAL_mean,MESOCALTEN_mean,PARA_mean,CLAPER_mean,CLAARC_mean,CLAPAR_mean,CLAPAU_mean,CLALIV_mean,CLAUSO_SUM_mean
1,2.62701,1.0128295,1.08649,0.1024382,3.400707,0.6891155,1.5640703,1.74291429,1.07147918,1.21213126,1.9390968,2.7514651,1.0902831,3.136362,2.6322508,2.0787755,0.958907,0.52702631,0.08577735,2.9255876
2,3.046104,1.6459095,0.8601693,0.7917733,3.75248,0.9717264,1.7428361,1.58068862,0.86665411,1.15536348,1.8776492,2.702796,0.7453352,2.969812,2.4542455,1.8973083,1.16057919,0.12075337,0.43054541,2.8020143
3,3.177584,1.6988609,1.0336612,1.2084738,3.731332,0.8042092,1.6992047,1.27754755,0.65526461,0.95988697,1.5794293,2.2302046,0.5598164,2.574108,1.9533473,1.4391076,0.66807459,0.21020435,0.27234501,2.45904
4,3.377144,1.8712873,1.3138509,1.4120481,3.846641,0.7621354,1.4468938,0.73703107,0.40243301,0.54632051,1.6156627,2.0993037,0.6130908,2.48128,1.8675188,1.2940071,0.49318089,0.08255422,0.09693214,2.3121139
5,3.545503,2.2681521,1.9837622,2.0321707,3.752437,0.5986718,1.2919302,0.40294835,0.10034694,0.33925127,1.3824267,1.4256005,0.3724116,2.051719,1.0728247,0.6063455,0.48742263,0,0,1.4878516
6,3.870246,2.4800029,2.827239,2.5958144,3.595629,0.6607354,0.9415139,0.19318083,0,0.06259305,1.2015931,0.7252648,0.2443709,1.522332,0.5209589,0.2539204,0.05611676,0.03790402,0.03988752,0.7167191
7,3.984759,2.7387425,3.3228313,2.847468,3.644101,0.6624896,0.859781,0,0.02227555,0.02016507,0.8521241,0.6481796,0.1064992,1.948991,0.2608757,0.1968742,0.01696572,0,0,0.4045801
8,4.12352,2.8641661,3.6168837,2.9248214,3.749222,0.5578051,0.803334,0.03980929,0,0.01966154,0.5225701,0.6132857,0.2314575,2.28612,0.1132463,0.2880279,0.01669794,0,0,0.3659118
9,3.984864,1.9478928,3.3251761,1.8458294,3.805586,0.896422,1.3068333,0.14337236,0.01589752,0.1540375,0.9179111,0.7977214,0.2945229,2.803842,0.3586731,0.2890791,0.22898919,0.02216376,0.0145457,0.6934602
10,3.587882,1.516072,2.8254875,0.803134,3.833484,1.0583121,1.5859621,0.27739442,0.03787656,0.32169714,1.3291166,1.4711558,0.3974715,3.132338,0.4252749,0.5488619,0.31540356,0,0,0.9998396
11,3.121811,0.7076129,2.2077747,0.6052975,3.444709,1.0930134,1.914345,0.77441976,0.33998782,0.60541576,1.9369493,2.0243631,0.6997381,3.200801,1.3493677,1.1707332,0.64329568,0,0.186806,1.9625398
12,3.204238,0.6720906,1.7489215,0.3028652,3.641649,1.0984004,1.5151703,1.35073787,0.29973,1.17132733,1.5993446,2.4440281,0.9351111,2.988269,2.1288448,1.7517186,1.01470573,0.6074013,0.1197411,2.6227629
