Year,Start Date,End Date,(in days),Start Date,End Date
1970,4/27/1970,10/20/1970,176,,
1971,3/20/1971,11/6/1971,231,,
1983,,,,,
1996,7/11/1996,9/19/1996,70,10/7/1996,5/15/1997
1997,5/28/1997,8/27/1997,91,8/28/1997,
1998,,,,,4/29/1999
1999,5/14/1999,11/4/1999,174,12/20/1999,4/6/2000
2000,4/11/2000,10/23/2000,195,11/7/2000,4/3/2001
2001,4/11/2001,11/7/2001,210,11/27/2001,4/18/2002
2002,4/30/2002,11/1/2002,185,11/15/2002,5/21/2003
2003,6/5/2003,10/3/2003,120,10/23/2003,5/13/2004
2004,5/25/2004,10/14/2004,142,10/28/2004,8/18/2005
2005,8/26/2005,9/21/2005,26,9/28/2005,5/15/2006
2006,5/30/2006,10/31/2006,154,11/29/2006,3/22/2007
2007,3/30/2007,10/12/2007,196,10/23/2007,2/17/2008
2008,3/4/2008,10/27/2008,237,11/19/2008,2/17/2009
2009,3/6/2009,10/19/2009,227,11/4/2009,6/4/2010
2010,6/18/2010,10/19/2010,123,11/4/2010,2/26/2011
2011,3/23/2011,9/29/2011,190,10/15/2011,4/14/2012
2012,5/4/2012,10/25/2012,174,11/13/2012,3/18/2013
2013,4/1/2013,9/26/2013,178,10/4/2013,2/23/2014
2014,4/1/2014,9/7/2014,159,9/25/2014,
2015,,,,,
2016,,,,,7/6/2017
2017,7/12/2017,10/4/2017,84,10/26/2017,5/21/2018
2018,5/29/2018,11/8/2018,163,12/6/2018,5/24/2019
2019,6/5/2019,9/11/2019,98,9/20/2019,4/6/2020
2020,4/6/2020,9/21/2020,168,9/30/2020,3/24/2021
2021,4/16/2021,10/4/2021,171,10/31/2021,2/18/2022
2022,3/24/2022,9/23/2022,183,10/4/2022,5/11/2023
2023,5/28/2023,10/7/2023,132,10/30/2023,5/21/2024
2024,6/6/2024,11/6/2024,153,11/26/2024,
