Mon,Day,Year,Cruise,EUCAL,ACAHUD,PSEUDO,OITSIM,CTNCAL,CENABD,CALPAC,CALMAR,ACATON,ACALON,PARA,OITSPI,METR,SCOLE,ONC,MICPUS,SCOMIN,TORTDIS,EPILON,CORANG,CLASO,CLAPER,CALTEN,CALSTY,ACADAN,CLAARC,CLAPAR,CALTENU,NEOPLU,MICSET,LUC,CLAPAU,CANBIP,CLALIV,CALPAV,CALPAVON
5,21,1996,NH,0,0,2.54075,3.456103,1.646325,0,2.998571,0,1.646325,0,3.017036,2.240968,2.240968,0,1.646325,0,0,0,0,2.783251,0,2.979286,0,1.646325,0,2.240968,0,1.646325,0,0,0,0,1.646325,0,0,0
6,11,1996,NH,1.249154,1.249154,3.701175,4.087326,2.226553,0,2.339901,3.273417,0,0,2.526292,2.526292,2.267711,0,2.701952,2.226553,0,0,0,2.226553,0,1.249154,0,0,0,0,0,0,0,1.249154,0,0,0,0,0,0
7,11,1996,NH,0,1.770787,3.996401,3.772035,1.725846,2.06812,1.725846,2.603294,0,2.967949,1.725846,2.06812,1.725846,0,1.725846,1.770787,0,0,0,1.770787,0,1.725846,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,25,1996,NH,0,2.947811,4.24401,4.123445,0,2.550604,0,3.478944,0,3.202865,0,0,1.952196,0,2.250795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,12,1996,NH,0,2.259747,3.947598,4.112703,1.742405,2.684221,1.742405,3.035904,0,3.227647,2.735274,2.084848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,26,1996,NH,1.572785,3.184546,3.775929,3.534267,0,2.166046,1.822865,2.407812,0,3.079888,1.867969,0,1.822865,0,1.867969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.528316,0,0,0,0,0
9,5,1996,NH,0,2.489753,3.341328,3.660897,0,2.066122,1.596396,2.286476,0,3.477494,2.489753,1.891891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19,1996,NH,0,1.911388,4.551463,4.307451,1.911388,2.509435,2.751896,2.384944,0,4.286263,3.161601,0,0,0,0,0,0,0,0,1.911388,0,0,0,0,0,1.911388,0,0,0,0,0,0,0,0,0,0
10,7,1996,NH,0,1.35599,4.166399,4.374663,2.242007,1.943458,1.35599,2.513846,0,3.370032,2.842197,0,2.242007,0,0,0,0,0,0,1.647347,0,0,0,1.943458,0,0,1.35599,0,0,0,0,0,0,0,0,0
10,31,1996,NH,0,3.805852,3.887879,3.971771,2.280865,2.10591,2.543071,1.80827,0,3.124009,3.032315,0,2.10591,0,1.80827,0,0,0,0,2.580756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,26,1996,NH,0,0,3.584685,3.694965,2.84221,0,2.067171,0,0,2.569755,3.080828,1.382834,2.269893,0,0,0,0,0,0,0,0,1.97119,0,1.97119,2.269893,2.445206,0,0,0,0,0,0,0,0,0,0
12,19,1996,NH,0,0,3.971244,3.953308,2.579395,0,1.914563,1.447889,2.637244,1.447889,2.847712,1.741107,2.038177,0,0,0,0,0,0,1.741107,0,2.688285,0,2.212941,2.637244,2.733954,0,1.447889,0,0,0,0,0,0,1.447889,0
2,24,1997,NH,0,0,4.002138,4.237797,2.472083,1.874395,2.472083,2.172515,2.472083,0,2.869143,2.172515,0,0,0,0,0,2.172515,0,2.172515,0,1.874395,0,2.172515,0,2.647686,0,2.172515,1.874395,0,0,0,0,1.874395,1.874395,0
3,21,1997,NH,0,0,4.066506,3.675208,2.18659,2.01191,1.422345,2.974267,1.137434,0,2.407307,0,0,0,0,0,0,0,0,0,0,2.407307,1.137434,1.715085,0,2.01191,1.137434,1.715085,0,0,0,0,0,0,0,0
