Mon,Day,Year,sshtimser
1,1,1993,0.022062397
1,2,1993,0.019462394
1,3,1993,0.013762394
1,4,1993,0.010762396
1,5,1993,0.009462396
1,6,1993,0.006162396
1,7,1993,0.002662396
1,8,1993,-0.002037605
1,9,1993,-0.000237604
1,10,1993,-0.006637605
1,11,1993,-0.010737605
1,12,1993,-0.013237604
1,13,1993,-0.013537604
1,14,1993,-0.019037604
1,15,1993,-0.019537604
1,16,1993,-0.019937604
1,17,1993,-0.017937604
1,18,1993,-0.017537605
1,19,1993,-0.017937604
1,20,1993,-0.018537605
1,21,1993,-0.018137605
1,22,1993,-0.018037605
1,23,1993,-0.017737604
1,24,1993,-0.017637604
1,25,1993,-0.018937604
1,26,1993,-0.020337605
1,27,1993,-0.019237605
1,28,1993,-0.019737605
1,29,1993,-0.018837604
1,30,1993,-0.018737604
1,31,1993,-0.019237605
2,1,1993,-0.019737605
2,2,1993,-0.019837604
2,3,1993,-0.020937604
2,4,1993,-0.021137605
2,5,1993,-0.021637604
2,6,1993,-0.021537604
2,7,1993,-0.022937604
2,8,1993,-0.024137604
2,9,1993,-0.025037604
2,10,1993,-0.024537604
2,11,1993,-0.025037604
2,12,1993,-0.025037604
2,13,1993,-0.022437604
2,14,1993,-0.025137604
2,15,1993,-0.023037605
2,16,1993,-0.020637604
2,17,1993,-0.018537605
2,18,1993,-0.014737605
2,19,1993,-0.013137605
2,20,1993,-0.012037605
2,21,1993,-0.008937604
2,22,1993,-0.008237604
2,23,1993,-0.006737604
2,24,1993,-0.006037604
2,25,1993,-0.004137605
2,26,1993,0.000762396
2,27,1993,0.004362395
2,28,1993,0.004962394
3,1,1993,0.004762395
3,2,1993,0.006462397
3,3,1993,0.008762395
3,4,1993,0.009762397
3,5,1993,0.011362395
3,6,1993,0.011362395
3,7,1993,0.012362397
3,8,1993,0.012162397
3,9,1993,0.010462394
3,10,1993,0.010262395
3,11,1993,0.009962397
3,12,1993,0.006262394
3,13,1993,0.004162396
3,14,1993,0.001262395
3,15,1993,-0.000237604
3,16,1993,-0.003637604
3,17,1993,-0.004837604
3,18,1993,-0.008337604
3,19,1993,-0.008837605
3,20,1993,-0.007837604
3,21,1993,-0.008137604
3,22,1993,-0.009237604
3,23,1993,-0.010937605
3,24,1993,-0.010637605
3,25,1993,-0.007837604
3,26,1993,-0.005537605
3,27,1993,-0.004537604
3,28,1993,0.000162395
3,29,1993,0.004462397
3,30,1993,0.007762397
